"date","branch","observation_type","portfolio_kbob","disbursements_kbob","overdue_kbob","clients","mora_rate","source_sheet","portfolio_growth_mom","clients_growth_mom","avg_balance_bob","disbursement_per_client_bob","clients_per_million_bob","client_outreach_index","portfolio_depth_index","risk_penalty","inclusion_responsibility_score"
2014-02-01,"16 de Julio","observed",27789.31,2849,128.02,1657,0.00460680743782411,"PP.16julio",0.0162973674355464,0.00485142510612491,16770.8569704285,1719.37235968618,59.6272451529023,0.983382789317507,0.889514384787422,0.769659628108794,91.2477635716739
2014-03-01,"16 de Julio","observed",28231.32,2688.8,74.3,1663,0.00263182876323176,"PP.16julio",0.015905756566104,0.00362100181050096,16976.1395069152,1616.83704149128,58.9062077154026,0.986943620178041,0.903662784053898,0.868408561838412,93.8252357672873
2014-04-01,"16 de Julio","observed",29147.17,3633.1,91.75,1659,0.00314781846745327,"PP.16julio",0.0324409202261884,-0.00240529164161152,17569.1199517782,2189.93369499699,56.9180472752586,0.984569732937685,0.932978436342766,0.842609076627336,94.070021269714
2014-05-01,"16 de Julio","observed",29805.28,3197.8,136.45,1666,0.00457804791634234,"PP.16julio",0.0225788644317784,0.00421940928270037,17890.3241296519,1919.44777911164,55.8961365234616,0.988724035608309,0.954044029974722,0.771097604182883,93.4794747633148
2014-06-01,"16 de Julio","observed",30645.83,3221.2,169.94,1667,0.00554528952226127,"PP.16julio",0.0282013790845113,0.000600240096038318,18383.8212357529,1932.33353329334,54.3956551348095,0.989317507418398,0.980949387327354,0.722735523886937,93.3490674684792
2014-07-01,"16 de Julio","observed",31240.99,3262.5,311.13,1685,0.00995903138792977,"PP.16julio",0.0194205867486703,0.0107978404319136,18540.646884273,1936.20178041543,53.9355506979772,1,1,0.502048430603512,90.0409686120702
2012-05-01,"Ceja","observed",134.2182232,134.2182232,0,12,0,"PP.ceja",,,11184.8519333333,11184.8519333333,89.4066372948379,0.00560224089635854,0.0034763292874907,1,20.3844019234426
2012-06-01,"Ceja","observed",1061.6,929.5,0,62,0,"PP.ceja",6.90950717934999,4.16666666666667,17122.5806451613,14991.935483871,58.4024114544084,0.0289449112978525,0.0274960514571923,1,22.2721271086084
2012-07-01,"Ceja","observed",2052.71,1017.2,0,115,0,"PP.ceja",0.933600226073851,0.854838709677419,17849.652173913,8845.21739130435,56.0235006406165,0.053688141923436,0.0531663713137653,1,24.2793982355848
2012-08-01,"Ceja","observed",3876.93,1894,0,222,0,"PP.ceja",0.888688611640222,0.930434782608696,17463.6486486487,8531.53153153153,57.261802508686,0.103641456582633,0.100414720022544,1,28.194514429808
2012-09-01,"Ceja","observed",6002.42,2289,0,365,0,"PP.ceja",0.548240489253095,0.644144144144144,16444.9863013699,6271.23287671233,60.8088071144638,0.170401493930906,0.155466135255916,1,33.1840587542228
2012-10-01,"Ceja","observed",8311.89,2585.8,0,528,0,"PP.ceja",0.38475648155244,0.446575342465753,15742.2159090909,4897.34848484848,63.5234585635758,0.246498599439776,0.215282738457538,1,38.7834121257149
2012-11-01,"Ceja","observed",10104.42,2257.4,0,678,0,"PP.ceja",0.215658532535921,0.284090909090909,14903.2743362832,3329.49852507375,67.099348601899,0.316526610644258,0.261710297913605,1,43.677639469621
2012-12-01,"Ceja","observed",12137.63,2636.9,0,783,0,"PP.ceja",0.201219862198919,0.154867256637168,15501.4431673052,3367.68837803321,64.5101226516214,0.365546218487395,0.314371607995819,1,47.7084591642443
2013-01-01,"Ceja","observed",13987.79,2650.2,0,887,0,"PP.ceja",0.152431735025701,0.132822477650064,15769.7745208568,2987.82412626832,63.4124475703453,0.414098972922502,0.362291817645441,1,51.5737031754883
2013-02-01,"Ceja","observed",15535.86,2574.8,4.26,973,0.000274204324704265,"PP.ceja",0.110672951195292,0.0969560315670801,15966.9681397739,2646.24871531346,62.629297637852,0.454248366013072,0.402387722298168,0.986289783764787,54.5098456448944
2013-03-01,"Ceja","observed",17521.57,3248.9,0,1100,0,"PP.ceja",0.127814617278992,0.130524152106886,15928.7,2953.54545454545,62.7797623158199,0.513538748832866,0.453818755021474,1,59.2915000922875
2013-04-01,"Ceja","observed",19756.89,3864.6,3.48,1205,0.000176141082933599,"PP.ceja",0.12757532572709,0.0954545454545455,16395.7593360996,3207.13692946058,60.9913807284446,0.562558356676004,0.511714830514401,0.99119294585332,63.3032216662986
2013-05-01,"Ceja","observed",21094.99,2794.6,42.28,1306,0.00200426736395703,"PP.ceja",0.0677282709981177,0.083817427385892,16152.3660030628,2139.81623277182,61.9104346577078,0.609710550887022,0.546372391229236,0.899786631802148,64.8724319172711
2013-06-01,"Ceja","observed",21892.1,2372,29.31,1387,0.00133883912461573,"PP.ceja",0.0377866972205247,0.0620214395099541,15783.7779379957,1710.16582552271,63.3561878485847,0.647525676937442,0.567017999346269,0.933058043769214,68.0479847026444
2013-07-01,"Ceja","observed",23572.65,3440.3,38.18,1491,0.00161967364721404,"PP.ceja",0.0767651344548947,0.0749819754866619,15809.9597585513,2307.37759892689,63.2512678888458,0.696078431372549,0.610545212304431,0.919016317639298,71.5006042905463
2013-08-01,"Ceja","observed",24300.73,2701.2,-16.22,1561,-0.000667469660376458,"PP.ceja",0.0308866419346148,0.0469483568075117,15567.4119154388,1730.42921204356,64.2367533814828,0.72875816993464,0.629402903661772,1,75.3199956065852
2013-09-01,"Ceja","observed",25587.26,3373.2,8.34,1634,0.00032594345779892,"PP.ceja",0.0529420309595636,0.0467648942985266,15659.2778457772,2064.38188494492,63.8599052809875,0.762838468720822,0.662724771673472,0.983702827110054,77.6977231284463
2013-10-01,"Ceja","observed",27680.78,4429,25.51,1717,0.000921578076918353,"PP.ceja",0.0818188426584168,0.0507955936352509,16121.5958066395,2579.49912638323,62.0285989050887,0.801587301587302,0.716948145492859,0.953921096154082,80.6662313672325
2013-11-01,"Ceja","observed",29102.1,3889.3,18.26,1779,0.000627446129317128,"PP.ceja",0.0513468189841471,0.0361094933022714,16358.6846543002,2186.22821810006,61.1296092034595,0.830532212885154,0.753761152140501,0.968627693534144,83.5119990791556
2013-12-01,"Ceja","observed",30579.71,3974.8,18.03,1842,0.000589606637865434,"PP.ceja",0.0507733118915816,0.0354131534569984,16601.3626492942,2157.87187839305,60.2360192428247,0.859943977591036,0.792032102209889,0.970519668106728,86.1685553079831
2014-01-01,"Ceja","observed",31595.04,3832.6,40.98,1908,0.00129703902891087,"PP.ceja",0.0332027347545154,0.0358306188925082,16559.2452830189,2008.70020964361,60.3892256506084,0.890756302521008,0.818329734016625,0.935148048554457,87.7906681176383
