"date","branch","observation_type","portfolio_kbob","disbursements_kbob","overdue_kbob","clients","mora_rate","source_sheet","portfolio_growth_mom","clients_growth_mom","avg_balance_bob","disbursement_per_client_bob","clients_per_million_bob","month_index","maturity_stage","positive_mora","risk_adjusted_growth","disbursement_growth_mom","next_mora_rate","next_mora_change"
2013-11-01,"16 de Julio","observed",25492.5,3948.3,-52.19,1638,-0.00204726880455036,"PP.16julio",0.075394237397101,0.0129870129870129,15563.1868131868,2410.43956043956,64.2541924095322,21,"Consolidation",0,0.075394237397101,0.0468501431753103,6.13294955366801e-05,6.13294955366801e-05
2013-12-01,"16 de Julio","observed",26577.75,3243.1,1.63,1641,6.13294955366801e-05,"PP.16julio",0.0425713445130922,0.00183150183150182,16196.0694698355,1976.29494210847,61.7433755679092,22,"Consolidation",6.13294955366801e-05,0.0425100150175555,-0.178608515057113,0,-6.13294955366801e-05
2014-01-01,"16 de Julio","observed",27343.68,3081.5,-2.53,1649,-9.25259511521492e-05,"PP.16julio",0.0288184665744844,0.00487507617306515,16581.9769557307,1868.70830806549,60.3064400987724,23,"Consolidation",0,0.0288184665744844,-0.0498288674416453,0.00460680743782411,0.00460680743782411
2014-02-01,"16 de Julio","observed",27789.31,2849,128.02,1657,0.00460680743782411,"PP.16julio",0.0162973674355464,0.00485142510612491,16770.8569704285,1719.37235968618,59.6272451529023,24,"Consolidation",0.00460680743782411,0.0116905599977223,-0.0754502677267564,0.00263182876323176,-0.00197497867459235
2014-03-01,"16 de Julio","observed",28231.32,2688.8,74.3,1663,0.00263182876323176,"PP.16julio",0.015905756566104,0.00362100181050096,16976.1395069152,1616.83704149128,58.9062077154026,25,"Consolidation",0.00263182876323176,0.0132739278028723,-0.0562302562302561,0.00314781846745327,0.000515989704221515
2014-04-01,"16 de Julio","observed",29147.17,3633.1,91.75,1659,0.00314781846745327,"PP.16julio",0.0324409202261884,-0.00240529164161152,17569.1199517782,2189.93369499699,56.9180472752586,26,"Consolidation",0.00314781846745327,0.0292931017587351,0.351197560249926,0.00457804791634234,0.00143022944888907
2014-05-01,"16 de Julio","observed",29805.28,3197.8,136.45,1666,0.00457804791634234,"PP.16julio",0.0225788644317784,0.00421940928270037,17890.3241296519,1919.44777911164,55.8961365234616,27,"Consolidation",0.00457804791634234,0.018000816515436,-0.119815033993009,0.00554528952226127,0.000967241605918928
2014-06-01,"16 de Julio","observed",30645.83,3221.2,169.94,1667,0.00554528952226127,"PP.16julio",0.0282013790845113,0.000600240096038318,18383.8212357529,1932.33353329334,54.3956551348095,28,"Consolidation",0.00554528952226127,0.02265608956225,0.00731753080242648,0.00995903138792977,0.0044137418656685
2014-07-01,"16 de Julio","observed",31240.99,3262.5,311.13,1685,0.00995903138792977,"PP.16julio",0.0194205867486703,0.0107978404319136,18540.646884273,1936.20178041543,53.9355506979772,29,"Consolidation",0.00995903138792977,0.00946155536074054,0.0128213088290079,,
2012-05-01,"Ceja","observed",134.2182232,134.2182232,0,12,0,"PP.ceja",,,11184.8519333333,11184.8519333333,89.4066372948379,1,"Launch",0,,,0,0
2012-06-01,"Ceja","observed",1061.6,929.5,0,62,0,"PP.ceja",6.90950717934999,4.16666666666667,17122.5806451613,14991.935483871,58.4024114544084,2,"Launch",0,6.90950717934999,5.92528911379599,0,0
2012-07-01,"Ceja","observed",2052.71,1017.2,0,115,0,"PP.ceja",0.933600226073851,0.854838709677419,17849.652173913,8845.21739130435,56.0235006406165,3,"Launch",0,0.933600226073851,0.0943518020441099,0,0
2012-08-01,"Ceja","observed",3876.93,1894,0,222,0,"PP.ceja",0.888688611640222,0.930434782608696,17463.6486486487,8531.53153153153,57.261802508686,4,"Launch",0,0.888688611640222,0.861974046401887,0,0
2012-09-01,"Ceja","observed",6002.42,2289,0,365,0,"PP.ceja",0.548240489253095,0.644144144144144,16444.9863013699,6271.23287671233,60.8088071144638,5,"Launch",0,0.548240489253095,0.208553326293559,0,0
2012-10-01,"Ceja","observed",8311.89,2585.8,0,528,0,"PP.ceja",0.38475648155244,0.446575342465753,15742.2159090909,4897.34848484848,63.5234585635758,6,"Launch",0,0.38475648155244,0.129663608562691,0,0
