"forecast_key","date_key","branch_key","model_key","model","forecast_kbob","lo80_kbob","hi80_kbob","lo95_kbob","hi95_kbob","rmse","mae","mape","selected_model"
"20150601|BR_16_DE_JULIO|MD_ARIMA","20150601","BR_16_DE_JULIO","MD_ARIMA","ARIMA","41060.4561916003","35017.6848314626","47103.227551738","31818.8349013583","50302.0774818424","2277.59463898787","2043.12649494485","6.8617749281989","True"
"20150701|BR_16_DE_JULIO|MD_ARIMA","20150701","BR_16_DE_JULIO","MD_ARIMA","ARIMA","41653.5147122205","35232.454982109","48074.574442332","31833.3512853583","51473.6781390827","2277.59463898787","2043.12649494485","6.8617749281989","True"
"20150801|BR_16_DE_JULIO|MD_ARIMA","20150801","BR_16_DE_JULIO","MD_ARIMA","ARIMA","42267.2670119269","35235.5446001995","49298.9894236543","31513.1756067854","53021.3584170684","2277.59463898787","2043.12649494485","6.8617749281989","True"
"20150901|BR_16_DE_JULIO|MD_ARIMA","20150901","BR_16_DE_JULIO","MD_ARIMA","ARIMA","43077.3256320308","35291.1566999136","50863.494564148","31169.4078433233","54985.2434207383","2277.59463898787","2043.12649494485","6.8617749281989","True"
"20151001|BR_16_DE_JULIO|MD_ARIMA","20151001","BR_16_DE_JULIO","MD_ARIMA","ARIMA","44657.8758974068","36049.4930553929","53266.2587394208","31492.4904465997","57823.2613482139","2277.59463898787","2043.12649494485","6.8617749281989","True"
"20151101|BR_16_DE_JULIO|MD_ARIMA","20151101","BR_16_DE_JULIO","MD_ARIMA","ARIMA","46402.3015412803","36953.0045825751","55851.5984999855","31950.8489300732","60853.7541524873","2277.59463898787","2043.12649494485","6.8617749281989","True"
"20151201|BR_16_DE_JULIO|MD_ARIMA","20151201","BR_16_DE_JULIO","MD_ARIMA","ARIMA","47458.1375987853","37176.870929332","57739.4042682387","31734.2971156149","63181.9780819557","2277.59463898787","2043.12649494485","6.8617749281989","True"
"20160101|BR_16_DE_JULIO|MD_ARIMA","20160101","BR_16_DE_JULIO","MD_ARIMA","ARIMA","48203.8598906386","37113.654555895","59294.0652253821","31242.8544799711","65164.865301306","2277.59463898787","2043.12649494485","6.8617749281989","True"
"20140801|BR_CEJA|MD_ETS","20140801","BR_CEJA","MD_ETS","ETS","39921.7053824188","39210.8308449881","40632.5799198494","38834.5165963019","41008.8941685357","1748.59007050658","1643.70840966476","4.60780209953756","True"
"20140901|BR_CEJA|MD_ETS","20140901","BR_CEJA","MD_ETS","ETS","41234.2511127074","40132.6089207019","42335.8933047129","39549.434771148","42919.0674542667","1748.59007050658","1643.70840966476","4.60780209953756","True"
