"clients_monthly_key","date_key","branch_key","observation_type","clients","clients_growth_mom","avg_balance_bob","disbursement_per_client_bob","clients_per_million_bob"
"20121001|BR_CEJA|observed","20121001","BR_CEJA","observed","528","0.446575342465753","15742.2159090909","4897.34848484848","63.5234585635758"
"20121101|BR_CEJA|observed","20121101","BR_CEJA","observed","678","0.284090909090909","14903.2743362832","3329.49852507375","67.099348601899"
"20121201|BR_CEJA|observed","20121201","BR_CEJA","observed","783","0.154867256637168","15501.4431673052","3367.68837803321","64.5101226516214"
"20130101|BR_CEJA|observed","20130101","BR_CEJA","observed","887","0.132822477650064","15769.7745208568","2987.82412626832","63.4124475703453"
"20130201|BR_CEJA|observed","20130201","BR_CEJA","observed","973","0.0969560315670801","15966.9681397739","2646.24871531346","62.629297637852"
"20130301|BR_CEJA|observed","20130301","BR_CEJA","observed","1100","0.130524152106886","15928.7","2953.54545454545","62.7797623158199"
"20130401|BR_CEJA|observed","20130401","BR_CEJA","observed","1205","0.0954545454545455","16395.7593360996","3207.13692946058","60.9913807284446"
"20130501|BR_CEJA|observed","20130501","BR_CEJA","observed","1306","0.083817427385892","16152.3660030628","2139.81623277182","61.9104346577078"
"20130601|BR_CEJA|observed","20130601","BR_CEJA","observed","1387","0.0620214395099541","15783.7779379957","1710.16582552271","63.3561878485847"
"20130701|BR_CEJA|observed","20130701","BR_CEJA","observed","1491","0.0749819754866619","15809.9597585513","2307.37759892689","63.2512678888458"
"20130801|BR_CEJA|observed","20130801","BR_CEJA","observed","1561","0.0469483568075117","15567.4119154388","1730.42921204356","64.2367533814828"
"20130901|BR_CEJA|observed","20130901","BR_CEJA","observed","1634","0.0467648942985266","15659.2778457772","2064.38188494492","63.8599052809875"
"20131001|BR_CEJA|observed","20131001","BR_CEJA","observed","1717","0.0507955936352509","16121.5958066395","2579.49912638323","62.0285989050887"
"20131101|BR_CEJA|observed","20131101","BR_CEJA","observed","1779","0.0361094933022714","16358.6846543002","2186.22821810006","61.1296092034595"
"20131201|BR_CEJA|observed","20131201","BR_CEJA","observed","1842","0.0354131534569984","16601.3626492942","2157.87187839305","60.2360192428247"
"20140101|BR_CEJA|observed","20140101","BR_CEJA","observed","1908","0.0358306188925082","16559.2452830189","2008.70020964361","60.3892256506084"
"20140201|BR_CEJA|observed","20140201","BR_CEJA","observed","1979","0.0372117400419287","16483.4562910561","1977.96867104598","60.6668882024821"
"20140301|BR_CEJA|observed","20140301","BR_CEJA","observed","2011","0.0161697827185447","16584.8533068125","1766.33515663849","60.2959810075156"
"20140401|BR_CEJA|observed","20140401","BR_CEJA","observed","2041","0.0149179512680258","16737.0063694268","1937.87359137678","59.7478412762443"
"20140501|BR_CEJA|observed","20140501","BR_CEJA","observed","2082","0.0200881920627143","17028.5494716619","1975.55235350624","58.724907935591"
"20140601|BR_CEJA|observed","20140601","BR_CEJA","observed","2104","0.0105667627281461","17647.7709125475","1932.27186311787","56.6643801619729"
"20140701|BR_CEJA|observed","20140701","BR_CEJA","observed","2142","0.018060836501901","18024.827264239","2293.7908496732","55.4790337427524"
"20120301|BR_GLOBAL|observed","20120301","BR_GLOBAL","observed","18","","6101.85552222222","6101.85165","163.884575168671"
"20120401|BR_GLOBAL|observed","20120401","BR_GLOBAL","observed","79","3.38888888888889","6333.49871772152","5047.3810835443","157.89061379328"
"20120501|BR_GLOBAL|observed","20120501","BR_GLOBAL","observed","188","1.37974683544304","7340.86257765957","4808.87104840425","136.223773353733"
"20120601|BR_GLOBAL|observed","20120601","BR_GLOBAL","observed","337","0.792553191489362","10731.8991097923","6902.96735905045","93.1801529039304"
"20120701|BR_GLOBAL|observed","20120701","BR_GLOBAL","observed","496","0.471810089020771","12276.9758064516","5306.85483870968","81.4532842424023"
"20120801|BR_GLOBAL|observed","20120801","BR_GLOBAL","observed","722","0.455645161290323","14008.5318559557","6029.63988919668","71.3850680629929"
"20120901|BR_GLOBAL|observed","20120901","BR_GLOBAL","observed","999","0.383656509695291","14052.5525525526","4445.04504504505","71.1614488727428"
"20121001|BR_GLOBAL|observed","20121001","BR_GLOBAL","observed","1318","0.319319319319319","14123.2321699545","4129.43854324734","70.8053218956057"
"20121101|BR_GLOBAL|observed","20121101","BR_GLOBAL","observed","1577","0.196509863429438","14070.8623969562","2958.59226379201","71.0688493561216"
"20121201|BR_GLOBAL|observed","20121201","BR_GLOBAL","observed","1765","0.119213696892835","14492.5382436261","2681.3597733711","69.0010254373355"
"20130101|BR_GLOBAL|observed","20130101","BR_GLOBAL","observed","1946","0.102549575070822","14700.914696814","2477.08119218911","68.0229782039836"
"20130201|BR_GLOBAL|observed","20130201","BR_GLOBAL","observed","2113","0.0858170606372046","14711.2304779934","2082.15806909607","67.975279260012"
