"date","branch","model","forecast_kbob","lo80_kbob","hi80_kbob","business_projection_kbob","projected_disbursements_kbob","projected_mora_rate","projection_gap_kbob","projection_gap_pct","planning_signal"
2015-03-01,"Global","ARIMA",87781.3733145612,80885.8481297506,94676.8984993718,144144.507309485,22179.1830086688,3.88732490834722e-31,56363.1339949243,0.642085352127599,"Aggressive plan versus statistical forecast"
2015-04-01,"Global","ARIMA",90127.2620281197,82674.4704517315,97580.053604508,164245.500535699,17210.4854461038,1.07390320155404e-33,74118.2385075796,0.822373129280846,"Aggressive plan versus statistical forecast"
2015-05-01,"Global","ARIMA",92473.1507416783,84501.9565408192,100444.344942537,176779.805519133,21957.9769496473,4.56779179704897e-36,84306.6547774545,0.911687923481306,"Aggressive plan versus statistical forecast"
2015-06-01,"Global","ARIMA",94819.0394552369,86361.1572324499,103276.921678024,195029.305578655,32182.3274667209,2.29595463871488e-38,100210.266123418,1.05685806035534,"Aggressive plan versus statistical forecast"
2015-07-01,"Global","ARIMA",97164.9281687955,88246.8786958859,106082.977641705,222226.198735445,20746.653597841,2.00671187848631e-40,125061.270566649,1.28710300026561,"Aggressive plan versus statistical forecast"
2015-08-01,"Global","ARIMA",99510.8168823541,90155.2067414819,108866.427023226,239185.268785763,32809.7199614396,-1.1004222868341e-43,139674.451903408,1.4036107458402,"Aggressive plan versus statistical forecast"
2015-09-01,"Global","ARIMA",101856.705595913,92083.1046313389,111630.306560486,263877.068645256,46978.944481778,2.47120756558538e-46,162020.363049344,1.59066957940023,"Aggressive plan versus statistical forecast"
2015-10-01,"Global","ARIMA",104202.594309471,94028.1601472466,114377.028471696,300674.802304604,42595.3677485357,3.79862536209722e-49,196472.207995133,1.88548288357995,"Aggressive plan versus statistical forecast"
2015-11-01,"Global","ARIMA",106548.48302303,95988.4193287063,117108.546717353,323620.634360714,56077.4587914581,-7.22540444073184e-52,217072.151337684,2.03730869909021,"Aggressive plan versus statistical forecast"
2015-12-01,"Global","ARIMA",108894.371736588,97962.2731304243,119826.470342753,357028.945727892,63564.7554185636,-4.01665315683914e-56,248134.573991304,2.2786721667446,"Aggressive plan versus statistical forecast"
2016-01-01,"Global","ARIMA",111240.260450147,99948.3777620554,122532.143138239,406816.73562954,41335.0220192689,3.26161357941363e-60,295576.475179393,2.65709981245376,"Aggressive plan versus statistical forecast"
